epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94004,2.09829,3.22779,5.91598,1.09336,0,0.0057,0.3125,0.05535,0.03222,0.00632,0.34615,0.08717,0.05777,1.01178,1.80086,12.6686,0.76033,0,0.000651515,0.000651515,0.000651515
2,20.3898,2.04193,2.60951,2.52222,1.07542,0,0.69662,0.09939,0.15283,0.08341,0.69662,0.09939,0.15728,0.1004,1.04963,1.67725,12.7539,0.76419,0,0.00129208,0.00129208,0.00129208
3,29.8817,1.90403,2.55464,2.74338,1.11572,0,0.34293,0.23077,0.1169,0.06465,0.34293,0.23077,0.11541,0.08303,1.29847,1.64051,17.0143,0.92399,0,0.00190625,0.00190625,0.00190625
4,39.5792,2.00481,2.4736,4.85474,0.96357,0,0.29365,0.4375,0.18164,0.07382,0.29417,0.43279,0.19248,0.07793,1.08997,1.71623,28.0051,0.80779,0,0.0018812,0.0018812,0.0018812
5,48.8269,2.02022,2.28497,3.89477,1.15835,0,0.17644,0.1875,0.08023,0.04116,0.17644,0.1875,0.07812,0.03868,1.13503,2.19986,14.0307,0.95759,0,0.0018416,0.0018416,0.0018416
6,58.5369,1.9829,2.10108,3.30637,1.16876,0,0.46307,0.33173,0.29055,0.16317,0.47494,0.31731,0.28727,0.16765,1.10012,1.3241,25.9368,0.93286,0,0.001802,0.001802,0.001802
7,68.0127,1.74884,1.97496,2.43182,1.10235,0,0.44982,0.21154,0.19226,0.11719,0.44982,0.21154,0.18723,0.10781,1.01749,1.14749,39.6968,0.91079,0,0.0017624,0.0017624,0.0017624
8,77.2823,1.89086,2.0086,3.10278,1.1205,0,0.04131,0.58654,0.02904,0.01174,0.0407,0.59131,0.027,0.01157,1.27595,1.22302,3055.5,0.98073,0,0.0017228,0.0017228,0.0017228
9,86.4889,1.72789,1.89939,1.85764,1.23005,0,0.37032,0.37019,0.27697,0.15042,0.37162,0.34688,0.25883,0.14801,1.04887,1.28454,10.7207,0.87251,0,0.0016832,0.0016832,0.0016832
10,96.1789,1.88875,2.04499,3.14233,1.00104,0,0.15907,0.5693,0.11891,0.05385,0.13666,0.5,0.09102,0.03908,1.00455,1.32008,80.3538,0.8203,0,0.0016436,0.0016436,0.0016436
