epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8541,1.90104,2.93854,3.83321,1.22066,0,0.38102,0.24519,0.2141,0.12667,0.38849,0.25,0.22134,0.13143,1.53417,2.18816,8.88213,1.13019,0,0.000650794,0.000650794,0.000650794
2,21.2913,1.87937,2.66718,3.68643,1.06392,0,0.32666,0.34135,0.25981,0.0927,0.19783,0.23077,0.10919,0.03657,1.34246,2.31252,4.40785,1.15848,0,0.00130442,0.00130442,0.00130442
3,31.0083,1.72629,2.51395,9.00568,1.10147,0,0.35555,0.3125,0.28143,0.10293,0.20639,0.20192,0.12397,0.03646,1.30893,2.23163,4.19985,1.14664,0,0.00194484,0.00194484,0.00194484
4,40.8234,1.73073,2.59435,4.28366,1.08294,0,0.39315,0.3125,0.28267,0.10445,0.20568,0.18269,0.11087,0.03413,1.29436,2.17029,4.13304,1.1394,0,0.0019406,0.0019406,0.0019406
5,50.2857,2.02785,2.54866,4.30414,1.183,0,0.03698,0.125,0.01274,0.0038,0.03925,0.23077,0.02077,0.00553,2.20256,4.67429,11.6712,1.95217,0,0.0019208,0.0019208,0.0019208
6,59.6238,2.13607,3.97835,3.29346,1.39503,0,0.04035,0.29327,0.02032,0.00983,0.03458,0.25,0.01516,0.00739,1.67944,5.03189,48.0657,2.07367,0,0.001901,0.001901,0.001901
7,69.7877,1.99848,2.93483,5.86112,1.55776,0,0.27121,0.21154,0.11293,0.0586,0.28647,0.20673,0.10623,0.06159,1.59201,2.94626,7.40663,1.83741,0,0.0018812,0.0018812,0.0018812
8,79.7785,2.1538,3.22441,3.85187,1.32937,0,0.39708,0.29131,0.33454,0.11741,0.2702,0.21154,0.20525,0.06955,1.6913,3.34087,2.5532,1.55415,0,0.0018614,0.0018614,0.0018614
9,89.554,2.23876,2.8,2.62186,1.29776,0,0.48915,0.39904,0.39981,0.1712,0.37114,0.32063,0.23607,0.10787,1.58191,2.20762,2.54072,1.41716,0,0.0018416,0.0018416,0.0018416
10,99.2463,1.99032,2.59444,2.8205,1.38806,0,0.18363,0.14423,0.06592,0.02459,0.20064,0.14904,0.07986,0.02774,1.54824,1.77845,5.7534,1.54433,0,0.0018218,0.0018218,0.0018218
11,108.979,1.95967,2.22542,2.51862,1.26597,0,0.72225,0.25,0.26617,0.16888,0.72225,0.25,0.26751,0.17492,1.41436,1.73192,2.01058,1.2119,0,0.001802,0.001802,0.001802
12,118.531,1.72254,2.01103,6.40138,1.25084,0,0.07,0.33173,0.03262,0.01476,0.06284,0.31044,0.02594,0.01261,1.39887,1.69954,36.4735,1.34269,0,0.0017822,0.0017822,0.0017822
